Library_node,Connected_node,Cor
778,779,0.843077716
1836,2961,0.996176937
1838,4371,0.762934876
1838,4372,0.955834497
1838,7229,0.725792763
3195,4639,0.943388567
3379,3381,0.905631481
3390,3435,0.660792942
4371,4372,0.625635555
4371,7229,0.992470529
4372,7229,0.567864758
4438,5212,0.81850967
4438,6021,0.967643412
4639,5330,0.977600853
4639,5423,0.990522166
5519,6224,0.997970894
6598,7933,0.652758369
6745,8129,0.761006332
7162,7887,0.897815462
8334,8586,0.971637068
8334,9353,0.988853169
8588,9353,0.999431369
9415,12011,0.998714913
9415,14826,0.979103165
9415,14827,0.949055371
12011,14827,0.721812278
12215,13114,0.9757798
13215,13632,0.839194278
13633,13634,0.989592494
13645,14826,0.98485222
13728,13871,0.982152203
13870,13871,0.972424699
15457,16492,0.981839851
16492,17400,0.996101676
