ID,m
778,0.987
779,0.931
895,0.991
961,0.871
1103,0.958
1388,0.973
1396,0.896
1590,0.712409
1593,0.702997
1599,0.705798
1836,0.96
1838,0.936
2139,0.871
2870,0.995
2961,0.994
3195,0.977
3379,0.987
3390,0.994
4371,0.899
4372,0.997
4438,0.896
4639,0.992
5021,0.982
5023,0.916
5519,0.848
5691,0.992
5881,0.887
6487,0.997
6598,0.82
6745,0.827
7162,0.839
8015,0.81
8058,0.972
8078,0.867
8121,0.987
8122,0.952
8125,0.926
8334,0.891
8534,0.82
8588,0.934
8989,0.94
9415,0.997
10275,0.938
10310,0.982
10815,0.98
10995,0.981
12011,0.996
12155,0.916
12215,0.838
13177,0.96
13215,0.965
13399,0.989
13402,0.986
13633,0.976
13645,0.995
13728,0.959
13870,0.822
14031,0.968
15457,0.99
16492,0.977
