Library_node,SMILES,Connected_node,Expected_SMILES
53,C=CC(=O)O,832,CC(C(=O)O)O
53,C=CC(=O)O,58,C=CC(=O)O
53,C=CC(=O)O,822,CC(C(=O)O)O
58,C=CC(=O)O,832,CC(C(=O)O)O
58,C=CC(=O)O,822,CC(C(=O)O)O
822,CC(C(=O)O)O,832,CC(C(=O)O)O
822,CC(C(=O)O)O,831,CC(C(=O)O)O
827,CC(C(=O)O)O,832,CC(C(=O)O)O
827,CC(C(=O)O)O,835,CC(C(=O)O)O
827,CC(C(=O)O)O,831,CC(C(=O)O)O
827,CC(C(=O)O)O,834,CC(C(=O)O)O
831,CC(C(=O)O)O,832,CC(C(=O)O)O
834,CC(C(=O)O)O,835,CC(C(=O)O)O
835,CC(C(=O)O)O,2442,CCCCC(C(=O)O)O
835,CC(C(=O)O)O,3525,CCCCCCC(C(=O)O)O
835,CC(C(=O)O)O,2440,CCCCC(C(=O)O)O
1354,CCCCC(=O)O,1431,CC(CC(=O)O)O
1430,C(C(=O)O)C(=O)O,1436,CC(CC(=O)O)O
1817,C1CC(=O)OC(=O)C1,1897,CCCCCC(=O)O
1887,CC(=O)CCC(=O)O,1891,CC(=O)CCC(=O)O
1887,CC(=O)CCC(=O)O,1897,CCCCCC(=O)O
1891,CC(=O)CCC(=O)O,1897,CCCCCC(=O)O
2089,C1=CC=C(C=C1)C(=O)O,3695,C1=CC=C(C(=C1)C=CC(=O)O)O
2089,C1=CC=C(C=C1)C(=O)O,2646,C1=CC(=CC=C1CCO)O
2092,C1=CC=C(C=C1)C(=O)O,2097,C1=CC(=CC=C1C=O)O
2094,C1=CC=C(C=C1)C(=O)O,2151,C1=CC(=CC=C1CO)O
2155,C1=CC(=CC(=C1)O)CO,2646,C1=CC(=CC=C1CCO)O
2440,CCCCC(C(=O)O)O,2443,CCCCC(C(=O)O)O
2440,CCCCC(C(=O)O)O,2442,CCCCC(C(=O)O)O
2440,CCCCC(C(=O)O)O,3525,CCCCCCC(C(=O)O)O
2442,CCCCC(C(=O)O)O,2443,CCCCC(C(=O)O)O
2442,CCCCC(C(=O)O)O,3525,CCCCCCC(C(=O)O)O
2531,C1=NC2=NC=NC(=C2N1)N,2532,C1=NC2=NC=NC(=C2N1)N
2561,CC1=CC=CC=C1C(=O)O,3106,CC(=O)NC1=CC=C(C=C1)O
2565,CC1=CC=CC=C1C(=O)O,2642,C1=CC=C(C(=C1)C(=O)O)O
2565,CC1=CC=CC=C1C(=O)O,2640,C1=CC=C(C(=C1)C(=O)O)O
2567,CC1=CC=CC=C1C(=O)O,2642,C1=CC=C(C(=C1)C(=O)O)O
2567,CC1=CC=CC=C1C(=O)O,4587,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
2567,CC1=CC=CC=C1C(=O)O,4516,C1=CC=C2C(=C1)C(=CN2)C=CC(=O)O
2642,C1=CC=C(C(=C1)C(=O)O)O,4587,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
2644,C1=CC(=CC(=C1)O)C(=O)O,2646,C1=CC(=CC=C1CCO)O
2862,CCCCCCCC(=O)O,2865,CCCCCCCC(=O)O
3143,C1=CC=C(C(=C1)CC(=O)O)O,4762,COC1=C(C=CC(=C1)C=CC(=O)O)O
3554,C1=CC=C2C(=C1)C=C(N2)C(=O)O,4589,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
3650,CC1=CC(=O)NS(=O)(=O)O1,8482,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O
3740,C1=CC=C(C=C1)CC(C(=O)O)N,3773,C1=CC=C(C=C1)CC(C(=O)O)O
3740,C1=CC=C(C=C1)CC(C(=O)O)N,3772,C1=CC=C(C=C1)CC(C(=O)O)O
3740,C1=CC=C(C=C1)CC(C(=O)O)N,3742,C1=CC=C(C=C1)CC(C(=O)O)N
3742,C1=CC=C(C=C1)CC(C(=O)O)N,3773,C1=CC=C(C=C1)CC(C(=O)O)O
3742,C1=CC=C(C=C1)CC(C(=O)O)N,3772,C1=CC=C(C=C1)CC(C(=O)O)O
3772,C1=CC=C(C=C1)CC(C(=O)O)O,3773,C1=CC=C(C=C1)CC(C(=O)O)O
4092,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,5203,C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O
4656,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,4657,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O
6796,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,6797,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O
7684,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,7685,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
7728,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,8405,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O
8400,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O,9049,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)O)O
8836,CCCCCCCCCCCCCCOS(=O)(=O)O,8837,CCCCCCCCCCCCCCOS(=O)(=O)O
