Library_node,Connected_node,Cor
2032,2634,0.689836023
2025,2740,0.369140781
3228,3232,0.830001711
3234,3239,-0.821261277
3234,3243,-0.232294923
3349,3352,0.784005054
3358,3364,0.734681441
3688,3689,0.838198435
3688,3690,0.69298022
3689,3690,0.764684263
3688,3692,0.739990488
3349,4054,0.716738552
4054,4055,0.599156005
3358,4064,0.266391907
4178,4180,0.890658167
4801,4810,0.622046693
4801,4812,0.90354421
4958,4959,0.631505739
4958,4962,0.743013574
4960,4962,0.486891027
4961,4962,0.676405615
5607,5611,0.924784795
5607,5613,0.941294681
5611,5613,0.953451677
4803,5624,0.35777003
5666,5674,0.465441485
5604,6307,0.264011978
8358,8361,0.499113527
10217,11050,0.502088164
10322,11060,0.390090146
11060,11975,0.451513773
14129,14140,0.819555633
18276,18280,0.784923525
18276,18282,0.815011153
18280,18282,0.634478093
18276,18283,0.915496178
18280,18283,0.869404538
18282,18283,0.804818083
10320,10322,0.949722923
