Library_node,SMILES,Connected_node,Expected_SMILES,¡¢ÃÂ“Ïππ
2023,C1CCOC(=O)C1,2032,C1CCOC(=O)C1,
2025,C1CCOC(=O)C1,2740,CC=CC=CC(=O)O,
2032,C1CCOC(=O)C1,2634,CCC=CC=CC=O,
2032,C1CCOC(=O)C1,3548,CC1(CC(=O)OC1=C)C,
2926,C1CC(NC1)C(=O)O,5674,C1=CC=C(C=C1)CC(C(=O)O)N,
3223,CC(=O)C1=CC=CC=C1,3227,CC(=O)C1=CC=CC=C1,
3228,CC(=O)C1=CC=CC=C1,3232,CC(=O)C1=CC=CC=C1,
3231,CC(=O)C1=CC=CC=C1,3243,CC(=O)C1=CC=CC=C1,
3231,CC(=O)C1=CC=CC=C1,3234,CC(=O)C1=CC=CC=C1,
3231,CC(=O)C1=CC=CC=C1,3239,CC(=O)C1=CC=CC=C1,
3234,CC(=O)C1=CC=CC=C1,3243,CC(=O)C1=CC=CC=C1,
3234,CC(=O)C1=CC=CC=C1,3239,CC(=O)C1=CC=CC=C1,
3239,CC(=O)C1=CC=CC=C1,3243,CC(=O)C1=CC=CC=C1,
3349,CC1=C(C(=C(C1)C)C)C,4054,C[C@@H](CCC=C(C)C)CC=O,C[C@H](CCC=C(C)C)CC=O
3349,CC1=C(C(=C(C1)C)C)C,3352,CC1=C(C(=C(C1)C)C)C,
3358,CC1=C(C(=C(C1)C)C)C,3364,CC1=C(C(=C(C1)C)C)C,
3358,CC1=C(C(=C(C1)C)C)C,4064,C[C@@H](CCC=C(C)C)CC=O,C[C@H](CCC=C(C)C)CC=O
3364,CC1=C(C(=C(C1)C)C)C,4064,C[C@@H](CCC=C(C)C)CC=O,C[C@H](CCC=C(C)C)CC=O
3530,C1=C(OC(=C1)C=O)CO,4262,CCC1CC(=O)CC(=O)C1,
3688,C1=CC=C2C=NC=CC2=C1,3690,C1=CC=C2C=NC=CC2=C1,
3688,C1=CC=C2C=NC=CC2=C1,3692,C1=CC=C2C=NC=CC2=C1,
3688,C1=CC=C2C=NC=CC2=C1,3689,C1=CC=C2C=NC=CC2=C1,
3689,C1=CC=C2C=NC=CC2=C1,3690,C1=CC=C2C=NC=CC2=C1,
4037,COC1=CC=CC(=C1)C=O,4259,CCC1CC(=O)CC(=O)C1,
4054,C[C@@H](CCC=C(C)C)CC=O,4055,C[C@@H](CCC=C(C)C)CC=O,C[C@H](CCC=C(C)C)CC=O
4173,CC1=CC(=O)CC(C1)(C)C,4180,CC1=CC(=O)CC(C1)(C)C,
4173,CC1=CC(=O)CC(C1)(C)C,4178,CC1=CC(=O)CC(C1)(C)C,
4178,CC1=CC(=O)CC(C1)(C)C,4180,CC1=CC(=O)CC(C1)(C)C,
4741,CC1=CC(=C(C=C1)NC=O)C,4781,CC(=O)C1=CC=C(C=C1)OC,
4783,CC(=O)C1=CC=C(C=C1)OC,4785,CC(=O)C1=CC=C(C=C1)OC,
4801,CC1=CCC(CC1=O)C(=C)C,4810,CC1=CCC(CC1=O)C(=C)C,
4801,CC1=CCC(CC1=O)C(=C)C,4812,CC1=CCC(CC1=O)C(=C)C,
4803,CC1=CCC(CC1=O)C(=C)C,5624,CCC=CCC1=C(CCC1=O)C,
4958,CC(=CCCC(=CC=O)C)C,4962,CC(=CCCC(=CC=O)C)C,
4958,CC(=CCCC(=CC=O)C)C,4959,CC1(C2CCC1(C(=O)C2)C)C,
4960,CC1(C2CCC1(C(=O)C2)C)C,4962,CC(=CCCC(=CC=O)C)C,
4961,CC(=CCCC(=CC=O)C)C,4962,CC(=CCCC(=CC=O)C)C,
5604,C1=CC=C(C=C1)CCCC(=O)O,6307,CCCCOC(=O)C1=CC=CC=C1,
5607,C1=CC=C(C=C1)CCCC(=O)O,5611,C1=CC=C(C=C1)CCCC(=O)O,
5607,C1=CC=C(C=C1)CCCC(=O)O,5613,CCC(C1=CC=CC=C1)C(=O)O,
5611,C1=CC=C(C=C1)CCCC(=O)O,5613,CCC(C1=CC=CC=C1)C(=O)O,
5666,C1=CC=C(C=C1)CC(C(=O)O)N,5674,C1=CC=C(C=C1)CC(C(=O)O)N,
6194,CC1=CC(=O)OC2=C1C=CC(=C2)O,6417,CC(=O)C1=CC(=C(C=C1)OC)OC,
6500,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,6501,C1C2=C(C=C(C=C2)O)C3=CC=CC=C31,
7454,CCCCCCCCCC[N+](C)(C)[O-],12625,CCCCCCCCCCCCCN1CC(OC(C1)C)C,
8358,CC1CC(=O)C=C2C1(CC(CC2)C(=C)C)C,8361,CC1CC(=O)C=C2C1(CC(CC2)C(=C)C)C,
10217,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,11050,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,
10322,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,11060,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=CC=C3)O,
10907,CCC(C)COC1C(C(C(C(O1)CO)O)O)O,12815,C1=CC=C(C=C1)CCOC2C(C(C(C(O2)CO)O)O)O,
11060,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=CC=C3)O,11975,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=C(C=C3)O)O,
14129,CCCCCCCCCC1=CC=C(C=C1)OCCOCCO,14140,CC1(CCCC2(C1CCC(C2CCC(C)(C=C)O)(C)O)C)C,
14129,CCCCCCCCCC1=CC=C(C=C1)OCCOCCO,14142,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,
14140,CC1(CCCC2(C1CCC(C2CCC(C)(C=C)O)(C)O)C)C,14142,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,
