ID,m
2023,0.847966
2025,0.702146
2032,0.748771
2032,0.748771
2926,0.858
3223,0.861
3228,0.833
3231,0.828
3231,0.828
3231,0.828
3234,0.832
3234,0.832
3239,0.84
3349,0.886
3349,0.886
3358,0.888
3358,0.888
3364,0.805
3530,0.833
3688,0.842
3688,0.842
3688,0.842
3689,0.851
4037,0.806
4054,0.781301
4173,0.907
4173,0.907
4178,0.812
4741,0.905
4783,0.813
4801,0.901
4801,0.901
4803,0.912
4958,0.925
4958,0.925
4960,0.909
4961,0.905
5604,0.881
5607,0.856
5607,0.856
5611,0.88
5666,0.807
6194,0.841
6500,0.876
7454,0.876
8358,0.853
10217,0.926
10322,0.879
10907,0.864
11060,0.852
14129,0.871
14129,0.871
14140,0.837
18276,0.833
18276,0.833
18276,0.833
18280,0.865
18280,0.865
18282,0.85
10320,0.879
17073,0.908
