Library_node,Connected_node,Cor
774,1088,0.910539745
1363,1364,0.905155318
1825,1826,0.859315498
1826,2235,0.578311499
1872,5752,0.75546123
2078,2079,0.304442511
2538,5581,0.525913407
2538,6383,0.609433932
2743,3986,0.722900982
3957,4656,0.956385726
4962,5678,0.649578907
4962,5776,0.86445179
4962,6561,0.63330715
5217,9925,0.907129442
5581,6383,0.898554379
5719,7089,-0.511440568
5776,6561,0.537336727
7578,10159,0.403347006
10013,11516,0.707480261
10013,11517,0.70199387
10159,11585,0.657139597
11516,11517,0.954966456
12863,12866,0.852815134
13902,14592,0.423577945
