ID,SMILES
2699,C1=CC=C(C=C1)CCCC(=O)O
4215,CC(C)C1=CC=C(C=C1)NC(=O)N(C)C
4430,C1=CC=C(C=C1)N(C2=CC=CC=C2)C(=N)N
4463,C1=CC=C(C=C1)N(C2=CC=CC=C2)C(=O)N
5762,CCCCC(CC)CNCC(CC)CCCC
5763,CCCCC(CC)CNCC(CC)CCCC
6388,CCCCCCCCCCCCCCCC(=O)N
6634,CCC(C(=O)C1=CC2=C(C=C1)OCO2)N3CCCC3
7010,CCCCCCCCCCCCCCCCCCN
7397,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
7433,C1CC2CN=C(NC2C1)NS(=O)(=O)C3=CC=CC=C3
7437,C1CC2CN=C(NC2C1)NS(=O)(=O)C3=CC=CC=C3
7560,CCCCCCCCC=CCCCCCCCC(=O)N
7688,CCCCCCCCCCCCCCCCCC(=O)N
7744,CCCCCCCCCCCCCCCCCC(=O)O
8407,CCCCCCC=CCCCCCCCC(=O)OCC
9015,CCCCC(CN1C=NC=N1)(C2=C(C=C(C=C2)Cl)Cl)O
12148,CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
12368,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC
13398,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
13399,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
16104,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
20038,C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO
1323,C1=CC(=CC=C1C=O)O
2704,CN(C)C(=O)NC1=CC=CC=C1
2673,CC(=NCCC1=CC=NC=C1)N
1766,C1=CC(=CC(=C1)N)C(=O)N
5758,CCCCC(CC)CNCC(CC)CCCC
4532,CCCCCCCCCCCCCCN
6385,CCCCCCCCCCCCCCCC(=O)N
5443,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=O
7385,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3
7393,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C
7432,C1CC2CN=C(NC2C1)NS(=O)(=O)C3=CC=CC=C3
7559,CCCCCCCCC=CCCCCCCCC(=O)N
6386,CCCCCCCCCCCCCCCC(=O)N
8730,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
9085,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
4903,CCCCOC(=O)C1=CC=CC=C1C(=O)O
13396,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
13828,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
17543,C(CCOCCCCOCCCCOCCCCOCCCCOCCCCOCCCCO)CO
