Library_node,Connected_node,Cor
1,2,0.843077716
11,15,0.996176937
12,19,0.762934876
12,20,0.955834497
12,69,0.725792763
16,22,0.943388567
17,72,0.905631481
18,73,0.660792942
19,20,0.625635555
19,69,0.992470529
20,69,0.567864758
21,75,0.81850967
21,74,0.967643412
22,76,0.977600853
22,77,0.990522166
25,79,0.997970894
29,83,0.652758369
30,66,0.761006332
31,84,0.897815462
38,89,0.971637068
38,88,0.988853169
40,88,0.999431369
42,47,0.998714913
42,82,0.979103165
42,81,0.949055371
47,81,0.721812278
49,95,0.9757798
51,97,0.839194278
54,99,0.989592494
55,82,0.98485222
56,100,0.982152203
57,100,0.972424699
59,60,0.981839851
60,102,0.996101676
103,105,0.294760769
106,107,0.422274814
107,141,0.419440858
119,120,0.767897195
120,150,0.759784733
115,147,0.185332733
127,156,0.794030336
119,142,0.377680443
131,132,0.983111855
133,160,0.668268838
135,162,0.659449777
136,163,0.228165728
137,164,0.432227799
139,166,0.568442871
170,214,0.689836023
169,213,0.369140781
173,218,0.830001711
175,176,-0.821261277
175,219,-0.232294923
177,220,0.784005054
178,179,0.734681441
181,182,0.838198435
181,223,0.69298022
182,223,0.764684263
181,224,0.739990488
177,184,0.716738552
184,226,0.599156005
178,221,0.266391907
186,227,0.890658167
189,230,0.622046693
189,231,0.90354421
191,234,0.631505739
191,233,0.743013574
192,233,0.486891027
193,233,0.676405615
195,196,0.924784795
195,236,0.941294681
196,236,0.953451677
190,232,0.35777003
197,216,0.465441485
194,235,0.264011978
201,240,0.499113527
202,241,0.502088164
203,205,0.390090146
205,243,0.451513773
206,207,0.819555633
208,209,0.784923525
208,210,0.815011153
209,210,0.634478093
208,245,0.915496178
209,245,0.869404538
210,245,0.804818083
211,203,0.949722923
249,282,0.910539745
250,283,0.905155318
253,254,0.859315498
254,284,0.578311499
255,285,0.75546123
256,257,0.304442511
258,266,0.525913407
258,287,0.609433932
259,289,0.722900982
260,290,0.956385726
264,293,0.649578907
264,268,0.86445179
264,294,0.63330715
265,295,0.907129442
266,287,0.898554379
267,296,-0.511440568
268,294,0.537336727
272,275,0.403347006
274,278,0.707480261
274,301,0.70199387
275,302,0.657139597
278,301,0.954966456
279,305,0.852815134
280,306,0.423577945
308,331,-0.550979672
310,333,0.801470951
314,337,0.49120131
317,340,0.547984277
318,340,0.713234758
318,317,0.599479922
322,341,0.508837267
323,343,0.765166355
324,344,0.483571348
329,348,0.971741556
