Library_node,SMILES,Connected_node,Expected_SMILES
1,COP(=O)(O)OC,2,COP(=O)(O)OC
2,COP(=O)(O)OC,61,C1=CC=C(C(=C1)C(=O)O)C(=O)O
3,C1CC(=O)NC1C(=O)O,62,C1=CC=C2C=NC=CC2=C1
3,C1CC(=O)NC1C(=O)O,4,CC(C)CC(C(=O)O)N
3,C1CC(=O)NC1C(=O)O,63,C1=CC=C(C=C1)CC(C(=O)O)N
4,CC(C)CC(C(=O)O)N,64,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
4,CC(C)CC(C(=O)O)N,63,C1=CC=C(C=C1)CC(C(=O)O)N
5,C1=CC(=CC(=C1)N)C(=O)N,65,C1=CC=C(C=C1)N(C2=CC=CC=C2)C(=O)N
6,CC1=CC2=C(C=C1)N=CC=C2,66,CCCCCCCCCCCCCCCC[N+](C)(C)C
6,CC1=CC2=C(C=C1)N=CC=C2,30,CCCCCCCCN(C)CCCCCCCC
7,CCCC(CCC)C(=O)N,67,CCCC(CCC)C(=O)N
8,C1=CC=C2C(=C1)C(=O)OC2=O,68,C1=CC=C2C(=C1)C(=O)OC2=O
8,C1=CC=C2C(=C1)C(=O)OC2=O,10,C1=CC=C2C(=C1)C(=O)OC2=O
8,C1=CC=C2C(=C1)C(=O)OC2=O,9,C1=CC=C2C(=C1)C(=O)OC2=O
9,C1=CC=C2C(=C1)C(=O)OC2=O,68,C1=CC=C2C(=C1)C(=O)OC2=O
9,C1=CC=C2C(=C1)C(=O)OC2=O,10,C1=CC=C2C(=C1)C(=O)OC2=O
10,C1=CC=C2C(=C1)C(=O)OC2=O,68,C1=CC=C2C(=C1)C(=O)OC2=O
11,CCOP(=O)(O)OCC,12,CCOP(=O)(O)OCC
11,CCOP(=O)(O)OCC,15,CCOP(=O)(OCC)OCC
11,CCOP(=O)(O)OCC,20,CCCCOP(=O)(O)OCCCC
11,CCOP(=O)(O)OCC,69,CCCCOP(=O)(OCCCC)OCCCC
11,CCOP(=O)(O)OCC,19,CCCCOP(=O)(O)OCCCC
12,CCOP(=O)(O)OCC,20,CCCCOP(=O)(O)OCCCC
12,CCOP(=O)(O)OCC,69,CCCCOP(=O)(OCCCC)OCCCC
12,CCOP(=O)(O)OCC,19,CCCCOP(=O)(O)OCCCC
13,C1=CC=C2C(=C1)C(=CC(=O)O2)O,70,C1=CC=C2C(=C1)C(=CC(=O)O2)O
14,CN1C2=C(C(=O)N(C1=O)C)NC=N2,71,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
15,CCOP(=O)(OCC)OCC,69,CCCCOP(=O)(OCCCC)OCCCC
16,CC(C)NC1=NC(=NC(=N1)N)Cl,22,CCNC1=NC(=NC(=N1)Cl)NC(C)C
17,COC(=O)NC1=NC2=CC=CC=C2N1,72,COC(=O)NC1=NC2=CC=CC=C2N1
18,CCN(CC)C(=O)C1=CC=CC(=C1)C,73,COC1=CC=C(C=C1)N2CCNCC2
19,CCCCOP(=O)(O)OCCCC,20,CCCCOP(=O)(O)OCCCC
19,CCCCOP(=O)(O)OCCCC,69,CCCCOP(=O)(OCCCC)OCCCC
20,CCCCOP(=O)(O)OCCCC,69,CCCCOP(=O)(OCCCC)OCCCC
21,CCNC1=NC(=NC(=N1)OC)NC(C)C,74,CC(C)NC1=NC(=NC(=N1)SC)NC(C)C
21,CCNC1=NC(=NC(=N1)OC)NC(C)C,75,CC(C)NC1=NC(=NC(=N1)OC)NC(C)C
22,CCNC1=NC(=NC(=N1)Cl)NC(C)C,76,CCNC1=NC(=NC(=N1)SC)NC(C)C
22,CCNC1=NC(=NC(=N1)Cl)NC(C)C,77,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C
23,CCCCOC(=O)C1=CC=CC=C1C(=O)O,24,CCCCOC(=O)C1=CC=CC=C1C(=O)O
24,CCCCOC(=O)C1=CC=CC=C1C(=O)O,78,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C
25,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC=O,79,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C
26,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=O,80,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O
27,C(COCCOCCOCCOCCO)O,44,C(COCCOCCOCCOCCOCCOCCO)O
27,C(COCCOCCOCCOCCO)O,33,C(COCCOCCOCCOCCOCCO)O
28,CC(CO)OCC(C)OCC(C)OCC(C)O,81,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
28,CC(CO)OCC(C)OCC(C)OCC(C)O,82,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
28,CC(CO)OCC(C)OCC(C)OCC(C)O,42,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O
28,CC(CO)OCC(C)OCC(C)OCC(C)O,47,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
29,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,83,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N
30,CCCCCCCCN(C)CCCCCCCC,66,CCCCCCCCCCCCCCCC[N+](C)(C)C
31,CC1=C(C(=CC=C1)C)N([C@@H](C)C(=O)O)C(=O)COC,84,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC
32,CCCCCCCCC=CCCCCCCCC(=O)N,85,CCCCCC=CCC=CCCCCCCCC(=O)NCCO
33,C(COCCOCCOCCOCCOCCO)O,48,C(COCCOCCOCCOCCOCCOCCOCCO)O
33,C(COCCOCCOCCOCCOCCO)O,44,C(COCCOCCOCCOCCOCCOCCO)O
34,CCCCCCC=CCCCCCCCC(=O)OCC,86,CCCCCCC=CCCCCCCCC(=O)OCC
35,CCCCCCCCCCCCCCCCCC(=O)N,87,CCCCCCCCCCCCCCCCCCCCCC(=O)N
35,CCCCCCCCCCCCCCCCCC(=O)N,37,CCCCCCCCCCCCCCCCCC(=O)N
35,CCCCCCCCCCCCCCCCCC(=O)N,36,CCCCCCCCCCCCCCCCCC(=O)N
36,CCCCCCCCCCCCCCCCCC(=O)N,87,CCCCCCCCCCCCCCCCCCCCCC(=O)N
36,CCCCCCCCCCCCCCCCCC(=O)N,37,CCCCCCCCCCCCCCCCCC(=O)N
37,CCCCCCCCCCCCCCCCCC(=O)N,87,CCCCCCCCCCCCCCCCCCCCCC(=O)N
38,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl,88,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
38,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl,89,CC(C)(C)[C@@H]([C@H](CC1=CC=C(C=C1)Cl)N2C=NC=N2)O
39,CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl,90,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl
40,CC(C)(C)[C@@H]([C@H](CC1=CC=C(C=C1)Cl)N2C=NC=N2)O,88,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
41,CCCCCCCCCCCCCCCC(=O)NCCO,43,CCCCCCCCC=CCCCCCCCC(=O)NCCO
42,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O,47,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
42,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O,82,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
42,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O,81,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
43,CCCCCCCCC=CCCCCCCCC(=O)NCCO,91,CCCCCCCCCCCCCCCCCC(=O)NCCO
44,C(COCCOCCOCCOCCOCCOCCO)O,92,C(COCCOCCOCCOCCOCCOCCOCCO)O
45,CCCCCCCCC=CCCCCCCCCCCCC(=O)N,93,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N
46,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,94,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl
47,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O,81,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
48,C(COCCOCCOCCOCCOCCOCCOCCO)O,92,C(COCCOCCOCCOCCOCCOCCOCCO)O
49,COC1=CC=CC(=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,95,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
50,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,96,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl
51,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O,97,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl
52,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O,53,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
52,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O,98,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
53,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O,98,CCC1=CC=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC=C(C=C4)CC)C(CO)O
