ID,m
1,0.987
2,0.931
3,0.991
4,0.871
5,0.958
6,0.973
7,0.896
8,0.712409
9,0.702997
10,0.705798
11,0.96
12,0.936
13,0.871
14,0.995
15,0.994
16,0.977
17,0.987
18,0.994
19,0.899
20,0.997
21,0.896
22,0.992
23,0.982
24,0.916
25,0.848
26,0.992
27,0.887
28,0.997
29,0.82
30,0.827
31,0.839
32,0.81
33,0.972
34,0.867
35,0.987
36,0.952
37,0.926
38,0.891
39,0.82
40,0.934
41,0.94
42,0.997
43,0.938
44,0.982
45,0.98
46,0.981
47,0.996
48,0.916
49,0.838
50,0.96
51,0.965
52,0.989
53,0.986
54,0.976
55,0.995
56,0.959
57,0.822
58,0.968
59,0.99
60,0.977
103,0.912
104,0.967
105,0.865
106,0.839
107,0.866
108,0.852
109,0.836
110,0.834
111,0.800302
112,0.851
113,0.84
114,0.836
115,0.945
116,0.862
117,0.826
118,0.892
119,0.938
120,0.947
121,0.864
122,0.893
123,0.935
124,0.826
125,0.81
126,0.846
127,0.845
128,0.938
129,0.885
130,0.899
131,0.921
132,0.9
133,0.929
134,0.801
135,0.717368
136,0.908
137,0.81
138,0.822
139,0.858
140,0.855
168,0.847966
169,0.702146
170,0.748771
170,0.748771
171,0.858
172,0.861
173,0.833
174,0.828
174,0.828
174,0.828
175,0.832
175,0.832
176,0.84
177,0.886
177,0.886
178,0.888
178,0.888
179,0.805
180,0.833
181,0.842
181,0.842
181,0.842
182,0.851
183,0.806
184,0.781301
185,0.907
185,0.907
186,0.812
187,0.905
188,0.813
189,0.901
189,0.901
190,0.912
191,0.925
191,0.925
192,0.909
193,0.905
194,0.881
195,0.856
195,0.856
196,0.88
197,0.807
198,0.841
199,0.876
200,0.876
201,0.853
202,0.926
203,0.879
204,0.864
205,0.852
206,0.871
206,0.871
207,0.837
208,0.833
208,0.833
208,0.833
209,0.865
209,0.865
210,0.85
211,0.879
212,0.908
247,0.932
248,0.917
249,0.848
250,0.952
251,0.94
252,0.939551
253,0.867
254,0.804
255,0.936
256,0.85
257,0.901
258,0.835
259,0.889
260,0.938
261,0.808
262,0.948
263,0.872
264,0.984
265,0.974
266,0.845
267,0.896
268,0.941
269,0.923
270,0.899
271,0.942
272,0.919
273,0.826
274,0.881
275,0.906
276,0.839
277,0.884
278,0.875
279,0.901
280,0.902
307,0.82
308,0.883
309,0.987
310,0.994
311,0.969
312,0.982
313,0.997
314,0.981
315,0.971
316,0.993
316,0.993
317,0.956
318,0.868
318,0.868
319,0.899
320,0.977
320,0.977
320,0.977
321,0.888
322,0.806
322,0.806
323,0.808
324,0.941
325,0.996
325,0.996
326,0.992
327,0.993
327,0.993
328,0.896
329,0.932
