Library_node,Connected_node,Cor
594,595,0.986034052
776,778,0.90313394
776,779,0.784974979
778,779,0.843077716
2299,2300,0.630692116
2299,2304,0.954003421
2300,2304,0.971581893
1836,2961,0.996176937
3379,3381,0.905631481
4225,4226,0.737736753
1838,4371,0.762934876
1838,4372,0.955834497
4371,4372,0.625635555
3195,4639,0.943388567
4834,4835,0.716430507
1836,5142,0.702275487
1838,5142,0.729556032
4639,5330,0.977600853
4639,5423,0.990522166
5698,5700,0.916295372
5519,6224,0.997970894
5020,6480,0.753389619
6597,6598,0.971140554
7162,7164,0.777756967
1838,7229,0.725792763
4371,7229,0.992470529
4372,7229,0.567864758
1836,7230,0.499802802
1838,7230,0.692610253
7162,7887,0.897815462
7164,7887,0.805262048
7162,7889,0.8603872
7164,7889,0.505711409
7887,7889,0.585414408
6597,7933,0.698040826
6598,7933,0.652758369
6745,8129,0.761006332
8534,8558,-0.623334961
8334,8586,0.971637068
8334,9353,0.988853169
8588,9353,0.999431369
9415,12011,0.998714913
12215,13114,0.9757798
12215,13115,0.87713053
13114,13115,0.815437372
13143,13144,0.973685103
13319,13320,0.908521002
13401,13404,0.643192338
13215,13632,0.839194278
13633,13634,0.989592494
13728,13729,0.925600883
13728,13871,0.982152203
13870,13871,0.972424699
9415,14826,0.979103165
13645,14826,0.98485222
9415,14827,0.949055371
12011,14827,0.721812278
15457,16492,0.981839851
16492,17400,0.996101676
