ID,m
594,0.996
776,0.987
778,0.987
895,0.991
961,0.871
1103,0.958
1388,0.973
1396,0.896
1590,0.712409
1593,0.702997
1599,0.705798
1835,0.927
1836,0.96
1838,0.936
2139,0.871
2298,0.97
2299,0.909
2300,0.97
2427,0.952
2870,0.995
2961,0.994
3195,0.977
3379,0.987
3391,0.994
4225,0.956
4371,0.899
4372,0.997
4639,0.992
4820,0.895
4834,0.895
5020,0.978
5021,0.982
5023,0.916
5171,0.955
5519,0.848
5698,0.973
6487,0.997
6597,0.82
6598,0.82
6745,0.827
7162,0.839
7164,0.839
7229,0.998
7835,0.993
7858,0.878
7887,0.974
8015,0.81
8058,0.972
8077,0.867
8078,0.867
8079,0.867
8121,0.987
8125,0.926
8334,0.891
8534,0.82
8558,0.882
8588,0.934
8989,0.94
9321,0.801
9415,0.997
10032,0.839
10275,0.938
10310,0.982
10815,0.98
10995,0.981
11756,0.811
12011,0.996
12215,0.838
13114,0.803
13143,0.977
13177,0.96
13215,0.965
13319,0.983
13401,0.986
13402,0.986
13633,0.976
13645,0.995
13728,0.959
13870,0.822
14031,0.968
15457,0.99
16492,0.977
