Library_node,Connected_node,Cor
6598_cj,7933_cj,0.652758369
10217_hypos,11050_hypos,0.502088164
1872_hp,5752_hp,0.75546123
8334_cj,9353_cj,0.988853169
10159_hp,11585_hp,0.657139597
5604_hypos,6307_hypos,0.264011978
5607_hypos,5613_hypos,0.941294681
1836_cj,2961_cj,0.996176937
14129_hypos,14140_hypos,0.819555633
4463_sedi,1766_sedi,0.801470951
9415_cj,14827_cj,0.949055371
2032_hypos,2634_hypos,0.689836023
4958_hypos,4959_hypos,0.631505739
1838_cj,7229_cj,0.725792763
2025_hypos,2740_hypos,0.369140781
1838_cj,4372_cj,0.955834497
2538_hp,6383_hp,0.609433932
