ID,SMILES
2644_hyneg,C1=CC(=CC(=C1)O)C(=O)O
7397_sedi,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
6598_cj,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
10217_hypos,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
10275_cj,CCCCCCCCC=CCCCCCCCC(=O)NCCO
1103_cj,C1=CC(=CC(=C1)N)C(=O)N
1872_hp,CCOP(=O)(OCC)OCC
8334_cj,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl
3740_hyneg,C1=CC=C(C=C1)CC(C(=O)O)N
10159_hp,C(COCCOCCOCCOCCOCCOCCO)O
5023_cj,CCCCOC(=O)C1=CC=CC=C1C(=O)O
5604_hypos,C1=CC=C(C=C1)CCCC(=O)O
5607_hypos,C1=CC=C(C=C1)CCCC(=O)O
10310_cj,C(COCCOCCOCCOCCOCCOCCO)O
8125_cj,CCCCCCCCCCCCCCCCCC(=O)N
1836_cj,CCOP(=O)(O)OCC
14129_hypos,CCCCCCCCCC1=CC=C(C=C1)OCCOCCO
7688_sedi,CCCCCCCCCCCCCCCCCC(=O)N
4463_sedi,C1=CC=C(C=C1)N(C2=CC=CC=C2)C(=O)N
8121_cj,CCCCCCCCCCCCCCCCCC(=O)N
8122_cj,CCCCCCCCCCCCCCCCCC(=O)N
6487_cj,CC(CO)OCC(C)OCC(C)OCC(C)O
9415_cj,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O
2032_hypos,C1CCOC(=O)C1
4958_hypos,CC(=CCCC(=CC=O)C)C
4304_hp,C(COCCOCCOCCOCCO)O
1838_cj,CCOP(=O)(O)OCC
8058_cj,C(COCCOCCOCCOCCOCCO)O
53_hyneg,C=CC(=O)O
2025_hypos,C1CCOC(=O)C1
2538_hp,CCCCCCCCCC[N+](C)(C)[O-]
1388_cj,CC1=CC2=C(C=C1)N=CC=C2
7728_hyneg,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O
5691_cj,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=O
2646_hyneg,C1=CC(=CC=C1CCO)O
7385_sedi,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3
7933_cj,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N
11050_hypos,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
10381_cj,CCCCCCCCCCCCCCCCCC(=O)NCCO
4482_cj,C1=CC=C(C=C1)N(C2=CC=CC=C2)C(=O)N
5752_hp,CCCCOP(=O)(OCCCC)OCCCC
9353_cj,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
3773_hyneg,C1=CC=C(C=C1)CC(C(=O)O)O
11585_hp,C(COCCOCCOCCOCCOCCOCCOCCO)O
7840_cj,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C
6307_hypos,CCCCOC(=O)C1=CC=CC=C1
5613_hypos,CCC(C1=CC=CC=C1)C(=O)O
12690_cj,C(COCCOCCOCCOCCOCCOCCOCCO)O
3772_hyneg,C1=CC=C(C=C1)CC(C(=O)O)O
10926_cj,CCCCCCCCCCCCCCCCCCCCCC(=O)N
2961_cj,CCOP(=O)(OCC)OCC
14140_hypos,CC1(CCCC2(C1CCC(C2CCC(C)(C=C)O)(C)O)C)C
6386_sedi,CCCCCCCCCCCCCCCC(=O)N
1766_sedi,C1=CC(=CC(=C1)N)C(=O)N
12011_cj,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
14827_cj,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O
2634_hypos,CCC=CC=CC=O
4959_hypos,CC1(C2CCC1(C(=O)C2)C)C
7229_cj,CCCCOP(=O)(OCCCC)OCCCC
832_hyneg,CC(C(=O)O)O
2740_hypos,CC=CC=CC(=O)O
4372_cj,CCCCOP(=O)(O)OCCCC
6383_hp,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
6745_cj,CCCCCCCCN(C)CCCCCCCC
8405_hyneg,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O
7393_sedi,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C
6473_cj,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O
