ID,m
1687_hp,0.94
1688_hp,0.939551
1838_cj,0.936
8407_sedi,0.806
774_hp,0.848
9015_sedi,0.808
12148_sedi,0.941
15457_cj,0.99
3554_hyneg,0.885
12011_cj,0.996
6419_hp,0.923
6487_cj,0.997
12215_cj,0.838
2089_hyneg,0.945
8534_cj,0.82
3957_hp,0.938
2094_hyneg,0.826
6487_cj,0.997
4430_sedi,0.987
1354_hyneg,0.834
8400_hyneg,0.858
3390_cj,0.994
7688_sedi,0.977
10815_cj,0.98
4962_hp,0.984
6487_cj,0.997
2961_cj,0.994
895_cj,0.991
4962_hp,0.984
4960_hypos,0.909
2538_hp,0.835
16104_sedi,0.896
2155_hyneg,0.892
1388_cj,0.973
53_hyneg,0.912
2567_hyneg,0.826
