node ID: 2302, ground truth SMILE: C1=CC=C(C(=C1)C(=O)O)C(=O)O
top 10 test cadidates: 
smiles: C1=CC(C(=C=O)C=C1)C(=O)OO, s:  0.00224
smiles: C1=CC=C(C(=C1)C=O)C(=O)OO, s:  0.00222
smiles: C1=CC(=CC=C1CO[O-])C(=O)[O-], s:  0.00222
smiles: C1=CC(=C(C=C1C=O)OO)C=O, s:  0.00220
smiles: C1=CC=C(C=C1)C(=O)C(=O)OO, s:  0.00220
smiles: C1=CC=C2C(=C1)C(OC2=O)OO, s:  0.00219
smiles: C=C1C=C(C(=O)OC1=C)C(=O)O, s:  0.00209
smiles: C1C=C([CH+]C=C1C=O)OC(=O)[O-], s:  0.00209
smiles: C1=CC(=O)OC(=C1)/C=C/C(=O)O, s:  0.00209
smiles: C1C(C=CC2=C1C(=O)OC2=O)O, s:  0.00209
node ID: 896, ground truth SMILE: C1=CC=C2C=NC=CC2=C1
top 10 test cadidates: 
smiles: C1=C(N=C(C(=[NH+]1)N)N)F, s:  0.00680
smiles: CC(C#N)C1=C=C=CC=C1, s:  0.00574
smiles: CC(C)(C#N)C1=C=C=C=C1, s:  0.00569
smiles: C1C2C3=CC=CC3=C1C=N2, s:  0.00558
smiles: C=C/C=C\C(=C)C#CC#N, s:  0.00555
smiles: C1C2=CC3=C1C=NCC3=C2, s:  0.00555
smiles: C1C2=CC=C=CC=C2C=N1, s:  0.00555
smiles: C1=CN=CC2=CC=C=CC21, s:  0.00555
smiles: C1C=CC2=C3N1C2=CC=C3, s:  0.00555
smiles: [C-]#[N+]C=CC1=CC=CC=C1, s:  0.00555
node ID: 2275, ground truth SMILE: C1=CC=C(C=C1)CC(C(=O)O)N
top 10 test cadidates: 
smiles: C1COCC(C1(C(O)O)N)F, s:  0.00024
smiles: CC1C(C(C(C(O1)O)F)N)O, s:  0.00023
smiles: C[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O)O)F)N, s:  0.00023
smiles: C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O)F)O)N, s:  0.00023
smiles: C(CC(=O)O)C(C(CF)O)N, s:  0.00023
smiles: C1[C@H]([C@@H]([C@H](OC1N)CO)F)O, s:  0.00023
smiles: CC(C)(C(CNC(=O)O)F)O, s:  0.00023
smiles: C1C(CON1)OCC(CF)O, s:  0.00023
smiles: CC(C)(C(C(C(=O)O)N)O)F, s:  0.00023
smiles: C(C[C@](CO)(C(=O)O)N)CF, s:  0.00023
node ID: 5699, ground truth SMILE: CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
top 10 test cadidates: 
smiles: CC1=CC(=CC(=C1)C(=O)NNCC(C)(C)C)C, s:  0.00005
smiles: CCCOC1=CC=CC=C1NNC2CCCC2, s:  0.00005
smiles: COCC(C1=CC=CC=C1)NN2CCCCC2, s:  0.00005
smiles: CC(CNN1CCCCC1)(C2=CC=CC=C2)O, s:  0.00005
smiles: C1CCN(CC1)NCCCOC2=CC=CC=C2, s:  0.00005
smiles: CCCOC1=CC=C(C=C1)NN=C(C)C(C)C, s:  0.00005
smiles: C1CCN(CC1)NCC[C@H](C2=CC=CC=C2)O, s:  0.00005
smiles: COC1=CC=C(C=C1)CCNN2CCCCC2, s:  0.00005
smiles: COCC1=CC=C(C=C1)CNN2CCCCC2, s:  0.00005
smiles: CC1=CC2=C(N1N3CCCCC3)CCCC2O, s:  0.00005
node ID: 4482, ground truth SMILE: C1=CC=C(C=C1)N(C2=CC=CC=C2)C(=O)N
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)NN=CC2C=CC=CC2=O, s:  0.00020
smiles: C1=CC=C(C=C1)NN=CC2=CC=CC=C2O, s:  0.00020
smiles: C1=CC=C(C=C1)N/N=C/C2=CC(=CC=C2)O, s:  0.00020
smiles: C1=CC=C(C=C1)NN=CC2=CC=C(C=C2)O, s:  0.00020
smiles: C1C=CC=C/C(=N/NC2=CC=CC=C2)/C1=O, s:  0.00020
smiles: C1=CC=C(C(=C1)/C=N\N=C/C2C=CC=C2)O, s:  0.00020
smiles: C1=CC=C(C=C1)NNC2=CC=CC=CC2=O, s:  0.00020
smiles: CC(=O)C1=CC=CC1=NNC2=CC=CC=C2, s:  0.00020
smiles: C1=CC=C(C(=C1)C=NOCC(CN)F)O, s:  0.00020
smiles: C1=CC=C(C=C1)NNC2=CC=CC=C2C=O, s:  0.00020
node ID: 8129, ground truth SMILE: CCCCCCCCCCCCCCCC[N+](C)(C)C
top 10 test cadidates: 
smiles: CCCCCCCCCCCCCCCC[N+](C)(C)C, s:  0.01435
smiles: CCCCCCCCCCCCCCCCCCC[NH3+], s:  0.01435
smiles: CCCCCCCCCCCCCCCC[NH2+]CCC, s:  0.01431
smiles: CCCCCCCCCCCCCCCC[NH+](C)CC, s:  0.01428
smiles: CCCCCCCCCCC(CCCCC)[N+](C)(C)C, s:  0.01425
smiles: CCCCCCCCC(CCCCCCC)[N+](C)(C)C, s:  0.01425
smiles: CCCCCCCCCC(CCCCCC)[N+](C)(C)C, s:  0.01425
smiles: CCCCCCCCCCCCCCCCC[NH+](C)C, s:  0.01425
smiles: CCCCCCCCCCCCCCCCCC[NH2+]C, s:  0.01425
smiles: CCCCCCCCCCCCCCC(C)[N+](C)(C)C, s:  0.01423
node ID: 1397, ground truth SMILE: CCCC(CCC)C(=O)N
top 10 test cadidates: 
smiles: CC(C)(C)NOCC1CC1, s:  0.00021
smiles: CCCCNOC(C)C=C, s:  0.00021
smiles: CCCCNOC(=CC)C, s:  0.00021
smiles: C/C=C(\C)/ON(C)C(C)C, s:  0.00021
smiles: CC/C=C/ON(CC)CC, s:  0.00021
smiles: CC(C)CNCOC1CC1, s:  0.00021
smiles: CC(C)NCOCCC=C, s:  0.00021
smiles: CCC(=C)ON(CC)CC, s:  0.00021
smiles: CCCCNCC=CCO, s:  0.00021
smiles: CC(C)CNC(CO)C=C, s:  0.00021
node ID: 1600, ground truth SMILE: C1=CC=C2C(=C1)C(=O)OC2=O
top 10 test cadidates: 
smiles: C1=C(C#CC(=C1)C(=O)O)C=O, s:  0.01402
smiles: C1=CC2=C(C(=O)OC2=C1)C=O, s:  0.01373
smiles: C1CC2=C(C#C1)C(=O)OC2=O, s:  0.01370
smiles: C1=C(C2=CC(=O)OC2=C1)C=O, s:  0.01365
smiles: C1=CC(=C2C(=C1)C(=O)O2)C=O, s:  0.01352
smiles: C1C2=C1C(=O)C(=CC2=O)C=O, s:  0.01351
smiles: C1=COC(=C1C#CC=O)C=O, s:  0.01349
smiles: C1=C(OC(=C1)C#CC=O)C=O, s:  0.01349
smiles: C1=CC2=CC(=O)C(=O)OC2=C1, s:  0.01340
smiles: C1=CC(=O)C(=O)C(=C1)C=C=O, s:  0.01334
node ID: 7229, ground truth SMILE: CCCCOP(=O)(OCCCC)OCCCC
top 10 test cadidates: 
smiles: CCCCCCCCOP(=O)(O)OCCCC, s:  0.00296
smiles: CCCCCCCOP(=O)(O)OCCCCC, s:  0.00274
smiles: CCCCCCOP(=O)(O)OCCCCCC, s:  0.00274
smiles: CCCCCCCCCCOP(=O)(O)OCC, s:  0.00252
smiles: CCCCOP(=O)(O)OCCCCCC(C)C, s:  0.00208
smiles: CCCCCCCCCCCCOP(=O)(O)O, s:  0.00206
smiles: CCCCCCCCCCCOP(=O)(O)OC, s:  0.00198
smiles: CCCCC(CC)COP(=O)(O)OCCCC, s:  0.00190
smiles: CCCCOP(=O)(OCCCC)OCCCC, s:  0.00187
smiles: CCCCCCCCOP(=O)(O)OCC(C)C, s:  0.00186
node ID: 2140, ground truth SMILE: C1=CC=C2C(=C1)C(=CC(=O)O2)O
top 10 test cadidates: 
smiles: C1=CC(=O)C(=O)C=C1/C=C/C=O, s:  0.00295
smiles: C1CC(=O)CC(=O)C1[Cl-]N, s:  0.00295
smiles: C1=CC=C(C(=C1)[CH+]C=O)C(=O)[O-], s:  0.00295
smiles: C1=CC=C(C=C1)C(=O)C(=O)C=O, s:  0.00294
smiles: C1C[N+](=C(COC1)Cl)C=O, s:  0.00294
smiles: C1=CC=C(C=C1)[C+](C=O)C(=O)[O-], s:  0.00292
smiles: C1=CC=C(C=C1)C(=O)OC=C=O, s:  0.00292
smiles: C1C2=C(C=C(C=C2)C=O)OC1=O, s:  0.00292
smiles: C1=CC=C(C(=C1)C=O)C(=O)C=O, s:  0.00292
smiles: C1C2=C(C=CC(=C2)C=O)OC1=O, s:  0.00291
node ID: 3512, ground truth SMILE: CN1C=NC2=C1C(=O)N(C(=O)N2C)C
top 10 test cadidates: 
smiles: C1=CC(=C(C=C1CCNN=[N+]=[N-])O)O, s:  0.00057
smiles: C1CC(=O)NC(=O)C1CC2=NNN=C2, s:  0.00055
smiles: CC1=NC=C(N=C1N=CNC=O)OC, s:  0.00055
smiles: C1=C(NC=N1)CCNC(=O)CN=C=O, s:  0.00055
smiles: CC(=O)NC1=CC(=CO1)CCN=[N+]=[N-], s:  0.00055
smiles: CN(CC(=O)N)C1=NC=C(C=N1)C=O, s:  0.00055
smiles: CC1=NN(C(=C1N)C(=O)OCC#N)C, s:  0.00055
smiles: CC(=O)N[C@@H](CN1C=CNC1=O)C#N, s:  0.00055
smiles: C=CC(=O)NC1=CN(N=C1)CC(=O)N, s:  0.00055
smiles: CC(=O)NC1=C2C(=O)NCCN2N=C1, s:  0.00055
node ID: 3381, ground truth SMILE: COC(=O)NC1=NC2=CC=CC=C2N1
top 10 test cadidates: 
smiles: COC(=O)NC1=NC2=CC=CC=C2N1, s:  0.00045
smiles: C1=CC=C2C(=C1)NC(=N2)NC(=O)CO, s:  0.00032
smiles: CONC(=O)C1=NC2=CC=CC=C2N1, s:  0.00029
