node ID: 832, ground truth SMILE: CC(C(=O)O)O
top 10 test cadidates: 
smiles: CC(C(=O)O)O, s:  0.33333
smiles: C[C@@H](C(=O)O)O, s:  0.33333
smiles: C[C@H](C(=O)O)O, s:  0.33333
smiles: [H+].CC(C(=O)[O-])O, s:  0.00000
smiles: CC(=O)C(O)O, s:  0.00000
smiles: COCC(=O)O, s:  0.00000
smiles: C[C@@H](O)OC=O, s:  0.00000
smiles: C[C@H](O)OC=O, s:  0.00000
smiles: CC(O)OC=O, s:  0.00000
smiles: C(CO)C(=O)O, s:  0.00000
node ID: 3525, ground truth SMILE: CCCCCCC(C(=O)O)O
top 10 test cadidates: 
smiles: CCCCCC[C@@H](C(=O)O)O, s:  0.30812
smiles: CCCCCC[C@H](C(=O)O)O, s:  0.30812
smiles: CCCCCCC(C(=O)O)O, s:  0.30812
smiles: CC(C)CCC[C@H](C(=O)O)O, s:  0.00744
smiles: CC(C)CCCC(C(=O)O)O, s:  0.00744
smiles: CC(C)CCC[C@@H](C(=O)O)O, s:  0.00744
smiles: CCCC[C@H]([C@H](C)C(=O)O)O, s:  0.00242
smiles: CCCCC(C(C)O)C(=O)O, s:  0.00242
smiles: CCCCC(C(C)C(=O)O)O, s:  0.00242
smiles: CCCC[C@@H]([C@@H](C)C(=O)O)O, s:  0.00242
node ID: 1431, ground truth SMILE: CC(CC(=O)O)O
top 10 test cadidates: 
smiles: C(CC(=O)O)CO, s:  0.20362
smiles: COCCC(=O)O, s:  0.05536
smiles: CCOCC(=O)O, s:  0.02187
smiles: CCCC(=O)OO, s:  0.01949
smiles: CCCOC(=O)O, s:  0.01629
smiles: C[C@H](CC(=O)O)O, s:  0.01376
smiles: C[C@@H](CC(=O)O)O, s:  0.01376
smiles: CC(CC(=O)O)O, s:  0.01376
smiles: CCC(=O)OOC, s:  0.01041
smiles: CCOOC(=O)C, s:  0.01019
node ID: 1436, ground truth SMILE: CC(CC(=O)O)O
top 10 test cadidates: 
smiles: C(CC(=O)O)CO, s:  0.04306
smiles: CC(CC(=O)O)O, s:  0.03464
smiles: C[C@H](CC(=O)O)O, s:  0.03464
smiles: C[C@@H](CC(=O)O)O, s:  0.03464
smiles: COCCC(=O)O, s:  0.02855
smiles: CCOCC(=O)O, s:  0.02791
smiles: COCC(=O)OC, s:  0.01603
smiles: CCOOC(=O)C, s:  0.01458
smiles: COC(=O)CCO, s:  0.01386
smiles: CCOC(=O)OC, s:  0.01355
node ID: 1897, ground truth SMILE: CCCCCC(=O)O
top 10 test cadidates: 
smiles: CCCCCC(=O)O, s:  0.18606
smiles: CC(=O)CCCCO, s:  0.07999
smiles: C[C@H](CCC(=O)C)O, s:  0.07755
smiles: C[C@@H](CCC(=O)C)O, s:  0.07755
smiles: CC(CCC(=O)C)O, s:  0.07755
smiles: CCOCCC(=O)C, s:  0.04852
smiles: CC(=O)CCCOC, s:  0.03443
smiles: CC(C)CCC(=O)O, s:  0.02275
smiles: CC(C)OCC(=O)C, s:  0.00964
smiles: CCC(C)CC(=O)O, s:  0.00905
node ID: 3695, ground truth SMILE: C1=CC=C(C(=C1)C=CC(=O)O)O
top 10 test cadidates: 
smiles: CC(=O)C1=CC=C(C=C1)C(=O)O, s:  0.01966
smiles: C=C(C1=CC=C(C=C1)C(=O)O)O, s:  0.01921
smiles: C1=CC(=CC=C1CC=O)C(=O)O, s:  0.01511
smiles: CC(=O)C1=CC(=CC=C1)C(=O)O, s:  0.01446
smiles: C=C(C1=CC(=CC=C1)C(=O)O)O, s:  0.01413
