node ID: 832, ground truth SMILE: CC(C(=O)O)O
top 10 test cadidates: 
smiles: CC(C(=O)O)O, s:  0.22467
smiles: C[C@@H](C(=O)O)O, s:  0.22467
smiles: C[C@H](C(=O)O)O, s:  0.22467
smiles: [H+].CC(C(=O)[O-])O, s:  0.03781
smiles: CC(=O)C(O)O, s:  0.01601
smiles: COC(=O)OC, s:  0.00830
smiles: C[C@@H](O)OC=O, s:  0.00604
smiles: C[C@H](O)OC=O, s:  0.00604
smiles: CC(O)OC=O, s:  0.00604
smiles: CCOC(=O)O, s:  0.00559
node ID: 3525, ground truth SMILE: CCCCCCC(C(=O)O)O
top 10 test cadidates: 
smiles: CCCCCC[C@@H](C(=O)O)O, s:  0.00297
smiles: CCCCCC[C@H](C(=O)O)O, s:  0.00297
smiles: CCCCCCC(C(=O)O)O, s:  0.00297
smiles: CC(C)CCC[C@H](C(=O)O)O, s:  0.00297
smiles: CC(C)CCCC(C(=O)O)O, s:  0.00297
smiles: CC(C)CCC[C@@H](C(=O)O)O, s:  0.00297
smiles: CCCCC(C)C(C(=O)O)O, s:  0.00228
smiles: CCCC[C@H](C)[C@H](C(=O)O)O, s:  0.00228
smiles: CCCC[C@@H](C)[C@@H](C(=O)O)O, s:  0.00228
smiles: CCCCC(C)[C@@H](C(=O)O)O, s:  0.00228
node ID: 1431, ground truth SMILE: CC(CC(=O)O)O
top 10 test cadidates: 
smiles: C(CC(=O)O)CO, s:  0.00636
smiles: COCCC(=O)O, s:  0.00453
smiles: CCCOC(=O)O, s:  0.00431
smiles: CCCC(=O)OO, s:  0.00414
smiles: CCOCC(=O)O, s:  0.00403
smiles: CC(C)(C(=O)O)O, s:  0.00392
smiles: CCC(C(=O)O)O, s:  0.00387
smiles: CC[C@H](C(=O)O)O, s:  0.00387
smiles: CC[C@@H](C(=O)O)O, s:  0.00387
smiles: CC(C)OC(=O)O, s:  0.00374
node ID: 1436, ground truth SMILE: CC(CC(=O)O)O
top 10 test cadidates: 
smiles: C(CC(=O)O)CO, s:  0.00426
smiles: C[C@@H](CC(=O)O)O, s:  0.00407
smiles: CC(CC(=O)O)O, s:  0.00407
smiles: C[C@H](CC(=O)O)O, s:  0.00407
smiles: CCOCC(=O)O, s:  0.00393
smiles: CCC(C(=O)O)O, s:  0.00391
smiles: CC[C@H](C(=O)O)O, s:  0.00391
smiles: CC[C@@H](C(=O)O)O, s:  0.00391
smiles: COCCC(=O)O, s:  0.00391
smiles: CC(CO)C(=O)O, s:  0.00390
node ID: 1897, ground truth SMILE: CCCCCC(=O)O
top 10 test cadidates: 
smiles: CC(C)CCC(=O)O, s:  0.00206
smiles: CC(=O)CCCCO, s:  0.00187
smiles: CCCCCC(=O)O, s:  0.00176
smiles: C[C@H](CCC(=O)C)O, s:  0.00169
smiles: C[C@@H](CCC(=O)C)O, s:  0.00169
smiles: CC(CCC(=O)C)O, s:  0.00169
smiles: CCOCCC(=O)C, s:  0.00153
smiles: CC(=O)CCCOC, s:  0.00150
smiles: CC(C)(C)CC(=O)O, s:  0.00119
smiles: CC(=O)CC(C)(C)O, s:  0.00103
node ID: 3695, ground truth SMILE: C1=CC=C(C(=C1)C=CC(=O)O)O
top 10 test cadidates: 
smiles: C=C(C1=CC=C(C=C1)C(=O)O)O, s:  0.00206
smiles: CC(=O)C1=CC=C(C=C1)C(=O)O, s:  0.00205
smiles: C=C(C1=CC(=CC=C1)C(=O)O)O, s:  0.00194
smiles: CC(=O)C1=CC(=CC=C1)C(=O)O, s:  0.00193
smiles: C1=CC=C(C=C1)C(=O)CC(=O)O, s:  0.00192
smiles: C1=CC=C(C=C1)/C(=C/C(=O)O)/O, s:  0.00189
smiles: C1=CC=C(C=C1)C(=CC(=O)O)O, s:  0.00189
smiles: C1=CC=C(C=C1)/C(=C\C(=O)O)/O, s:  0.00189
smiles: C1=CC=C(C=C1)C(=O)C(=O)CO, s:  0.00170
smiles: C1=CC=C(C=C1)C(=O)C(=CO)O, s:  0.00168
node ID: 2646, ground truth SMILE: C1=CC(=CC=C1CCO)O
top 10 test cadidates: 
smiles: C1=CC(=CC(=C1)O)CCO, s:  0.00202
smiles: C1=CC(=CC(=C1)CO)CO, s:  0.00176
smiles: COCC1=CC(=CC=C1)O, s:  0.00165
smiles: COC1=CC=CC(=C1)CO, s:  0.00101
smiles: C[C@@H](C1=CC(=CC=C1)O)O, s:  0.00100
smiles: C[C@H](C1=CC(=CC=C1)O)O, s:  0.00100
smiles: CC(C1=CC(=CC=C1)O)O, s:  0.00100
smiles: CCOC1=CC=CC(=C1)O, s:  0.00097
smiles: C1=CC=C(C=C1)COCO, s:  0.00087
smiles: C1=CC(=CC=C1CO)CO, s:  0.00084
node ID: 2097, ground truth SMILE: C1=CC(=CC=C1C=O)O
top 10 test cadidates: 
smiles: C1=CC=C(C=C1)C(=O)O, s:  0.00899
smiles: [H+].C1=CC=C(C=C1)C(=O)[O-], s:  0.00626
smiles: C1=CC=C(C=C1)C(=[O+])O, s:  0.00491
smiles: C1=CC=C(C(=O)C=C1)O, s:  0.00347
smiles: C12C3C1C4(C2C34)C(=O)O, s:  0.00303
smiles: C1=CC=C(C=C1)C([O-])[O-], s:  0.00296
smiles: C1=CC(=CC(=O)C=C1)O, s:  0.00287
smiles: C1=CC=C(C=C1)C2OO2, s:  0.00282
smiles: C(C[PH3+])OC(=O)N, s:  0.00279
smiles: [2H]C([2H])(C[N+](=O)[O-])[13C](=O)O, s:  0.00278
node ID: 2151, ground truth SMILE: C1=CC(=CC=C1CO)O
