node ID: 734, ground truth SMILE: CC1=CC2=NNN=C2C=C1
top 20 test cadidates: 
smiles: C1C2=CC=CC=C2NN=N1, s:  0.00165
smiles: [2H]C1CC2=CC=CC=C2C1=O, s:  0.00154
smiles: C1NC2=CC=CC=C2N=N1, s:  0.00129
smiles: C1=CC=C2C(=C1)NNC=N2, s:  0.00127
smiles: C=C1NC2=C(N1)N=CC=C2, s:  0.00123
smiles: C1NC2=C(C=N1)N=CC=C2, s:  0.00122
smiles: C1C=NC2=C(N1)C=CC=N2, s:  0.00121
smiles: C1C2=C(NC=N1)N=CC=C2, s:  0.00120
smiles: C1C2=C(C=CC=N2)NC=N1, s:  0.00120
smiles: C=[N+]1C2=CC=CC=C2N[N]1, s:  0.00119
smiles: C1=CC2=C(NC=CN2)N=C1, s:  0.00117
smiles: C1C2=C(N=CC=C2)N=C1N, s:  0.00117
smiles: C1=CC=C2C(=C1)C=NNN2, s:  0.00114
smiles: C1C2=C(C=NN1)N=CC=C2, s:  0.00114
smiles: C1C=NNC2=C1N=CC=C2, s:  0.00113
smiles: C1=CNC(=C1)C2=CN=CN2, s:  0.00111
smiles: CC1=CN=C2C=CNC2=N1, s:  0.00110
smiles: C1C2=C(C=NC=C2)N=C1N, s:  0.00110
smiles: CN1N=C2C=CC=CC2=N1, s:  0.00110
smiles: C1C2=C(C=CC=N2)N=C1N, s:  0.00109
node ID: 1088, ground truth SMILE: CC(=O)NC1=CC=C(C=C1)O
top 20 test cadidates: 
smiles: CC(=O)NC1=CC=C(C=C1)O, s:  0.00190
smiles: COC(=O)NC1=CC=CC=C1, s:  0.00177
smiles: CC(=O)NC1=CC(=CC=C1)O, s:  0.00169
smiles: C1=CC=C(C=C1)NC(=O)CO, s:  0.00138
smiles: CC(=O)NC1=CC=CC=C1O, s:  0.00124
smiles: CC(=O)ONC1=CC=CC=C1, s:  0.00114
smiles: CC(=O)NOC1=CC=CC=C1, s:  0.00098
smiles: CC1=CC=C(C=C1)NC(=O)O, s:  0.00098
smiles: CC1=CC(=CC=C1)NC(=O)O, s:  0.00092
smiles: C1=CC=C(C=C1)NCC(=O)O, s:  0.00090
smiles: CC1=CC=CC=C1NC(=O)O, s:  0.00085
smiles: C1=CC=C(C=C1)NCC(=O)[OH+], s:  0.00079
smiles: CNC1=CC=CC(=C1)C(=O)O, s:  0.00071
smiles: CNOC(=O)C1=CC=CC=C1, s:  0.00067
smiles: CNC1=CC=CC=C1C(=O)O, s:  0.00066
smiles: CNC(=O)OC1=CC=CC=C1, s:  0.00066
smiles: CONC(=O)C1=CC=CC=C1, s:  0.00066
smiles: C1=CC=C(C=C1)NC(C=O)O, s:  0.00066
smiles: CC(=O)N(C1=CC=CC=C1)O, s:  0.00065
smiles: CN(C1=CC=CC=C1)C(=O)O, s:  0.00064
node ID: 1364, ground truth SMILE: CN1CCCC1C2=CN=CC=C2
top 20 test cadidates: 
smiles: CN1CCCC1C2=CN=CC=C2, s:  0.00159
smiles: CN1CCCC1C2=CC=NC=C2, s:  0.00121
smiles: CC1CC(N1C)C2=CN=CC=C2, s:  0.00090
smiles: CN1CCC(C1)C2=CN=CC=C2, s:  0.00086
smiles: CN1CCCC1C2=CC=CC=N2, s:  0.00077
smiles: C[C@H]1CN([C@@H]1C2=CN=CC=C2)C, s:  0.00076
smiles: CC1CCCN1C2=CN=CC=C2, s:  0.00063
smiles: C1CCNC(C1)C2=CN=CC=C2, s:  0.00057
smiles: CCN1CC(C1)C2=CN=CC=C2, s:  0.00057
smiles: CC1CCC(N1)C2=CN=CC=C2, s:  0.00055
smiles: C1CC(C(C1)N)C2=CN=CC=C2, s:  0.00054
smiles: C1CC(CNC1)C2=CN=CC=C2, s:  0.00054
smiles: C1CNCCC1C2=CN=CC=C2, s:  0.00053
smiles: CC1C(CCN1)C2=CN=CC=C2, s:  0.00052
smiles: [CH2-][NH+]1CCCC1C2=CN=CC=C2, s:  0.00051
smiles: CC1CCNC1C2=CN=CC=C2, s:  0.00049
smiles: CC1(CC(N1)C2=CN=CC=C2)C, s:  0.00049
smiles: CN1CCC[C@H]1C2=C=CC=NC2, s:  0.00048
smiles: CC1CCN(C1)C2=CN=CC=C2, s:  0.00047
smiles: CN1CCC1C2=CC(=CC=C2)N, s:  0.00045
node ID: 2235, ground truth SMILE: CN1C=NC2=C1C(=O)N(C(=O)N2C)C
top 20 test cadidates: 
smiles: CCN1C(=O)C2=C(NC1=O)N=CN2C, s:  0.00480
smiles: CCN1C=NC2=C1C(=O)N(C(=O)N2)C, s:  0.00454
smiles: CCN1C=NC2=C(C1=O)N(C(=O)N2)C, s:  0.00304
smiles: CC1=NC2=C(N1C)C(=O)N(C(=O)N2)C, s:  0.00208
smiles: CN1C=NC2=C1C(=O)N(C(=O)N2C)C, s:  0.00175
smiles: CN1C=NC2=C1C(=O)N(N(C2=O)C)C, s:  0.00126
smiles: CN1C=NC2=C1C(=O)N(C(=N2)OC)C, s:  0.00125
smiles: CC1=NN(C2=C1NC(=O)N(C2=O)C)C, s:  0.00118
smiles: CCN1C2=C(C(=O)NC1=O)N(C=N2)C, s:  0.00116
