node ID: 1323, ground truth SMILE: C1=CC(=CC=C1C=O)O
top 20 test cadidates: 
smiles: C1=CC=C(C=C1)C(=O)O, s:  0.00328
smiles: [H+].C1=CC=C(C=C1)C(=O)[O-], s:  0.00313
smiles: [CH]CC(=O)C1=CC=CO1, s:  0.00304
smiles: C1=CC=C(C(=O)C=C1)O, s:  0.00298
smiles: C=CC(=O)C1=CC=CO1, s:  0.00295
smiles: C1=CC=C(C=C1)C(=[O+])O, s:  0.00293
smiles: C#CC#CCCC(=O)O, s:  0.00290
smiles: C1=CC(=CC(=O)C=C1)O, s:  0.00284
smiles: C1=CC=C(C=C1)C([O-])[O-], s:  0.00284
smiles: [2H]C([2H])(CSC)C(=O)O, s:  0.00283
smiles: CC#CC#CCC(=O)O, s:  0.00283
smiles: C1=CC=C(C=C1)OC=O, s:  0.00282
smiles: [2H]C([2H])(C[N+](=O)[O-])[13C](=O)O, s:  0.00282
smiles: C=C(C=O)C1=CC=CO1, s:  0.00282
smiles: C1=CC=C(C=C1)C2OO2, s:  0.00282
smiles: C1=CC=C(C=C1)[OH+][C-]=O, s:  0.00281
smiles: C1=CC=C(C(=C1)C=O)O, s:  0.00281
smiles: CC1=CC=C(O1)C(=O)[CH], s:  0.00281
smiles: C1=CC(=CC(=O)O)C=C1, s:  0.00279
smiles: C1=CC=C(C=C1)C=[O+][O-], s:  0.00279
node ID: 2704, ground truth SMILE: CN(C)C(=O)NC1=CC=CC=C1
top 20 test cadidates: 
smiles: CN(C)C(=O)NC1=CC=CC=C1, s:  0.00055
smiles: CC(=O)NC1=CC=C(C=C1)NC, s:  0.00029
smiles: CC(C)C(=O)NC1=CC=NC=C1, s:  0.00028
smiles: C[C@H](C(=O)NC1=CC=CC=C1)N, s:  0.00028
smiles: C[C@@H](C(=O)NC1=CC=CC=C1)N, s:  0.00028
smiles: CC(C(=O)NC1=CC=CC=C1)N, s:  0.00028
smiles: CCC(=O)NC1=CC=C(C=C1)N, s:  0.00028
smiles: CC1=CC=C(C=C1)NC(=O)NC, s:  0.00027
smiles: CC(C1=CC=C(C=C1)N)C(=O)N, s:  0.00027
smiles: C[C@@H](C1=CC=C(C=C1)N)C(=O)N, s:  0.00027
smiles: C[C@H](C1=CC=C(C=C1)N)C(=O)N, s:  0.00027
smiles: CC(C1=CC=C(C=C1)NC=O)N, s:  0.00027
smiles: CCC1=CC=C(C=C1)NC(=O)N, s:  0.00026
smiles: CC1=CC=C(C=C1)NC(=O)CN, s:  0.00026
smiles: CC(=O)NC1=CC=C(C=C1)CN, s:  0.00026
smiles: C[C@@H](C1=CC=C(C=C1)C(=O)N)N, s:  0.00026
smiles: C[C@H](C1=CC=C(C=C1)C(=O)N)N, s:  0.00026
smiles: CC(C1=CC=C(C=C1)C(=O)N)N, s:  0.00026
smiles: CC(=O)C(C1=CC=C(C=C1)N)N, s:  0.00026
smiles: CN(C)C(=O)C1=CC=C(C=C1)N, s:  0.00025
node ID: 2673, ground truth SMILE: CC(=NCCC1=CC=NC=C1)N
top 20 test cadidates: 
smiles: CCN(C1=CC=CC=C1)C(=N)N, s:  0.00043
smiles: CN(CC(=N)N)C1=CC=CC=C1, s:  0.00039
smiles: CCC(=N)N(C1=CC=CC=C1)N, s:  0.00039
smiles: CN(CC1=CC=CC=C1)C(=N)N, s:  0.00035
smiles: C/C(=C/N(C1=CC=CC=C1)N)/N, s:  0.00033
smiles: CC1=CC(=CC=C1)N(C)C(=N)N, s:  0.00033
smiles: C/C(=N/N(C)C1=CC=CC=C1)/N, s:  0.00033
smiles: CN=C(N)N(C)C1=CC=CC=C1, s:  0.00032
smiles: C/C(=C/N)/N(C1=CC=CC=C1)N, s:  0.00032
smiles: CC1=CC=CC=C1N(C)C(=N)N, s:  0.00031
smiles: CN(C)C1=CC=CC(=C1)C(=N)N, s:  0.00030
smiles: CC1=CC=C(C=C1)N(C)C(=N)N, s:  0.00030
smiles: CC(C1=CC=CC=C1)(C(=N)N)N, s:  0.00030
smiles: C1=CC=C(C=C1)CC(=C(N)N)N, s:  0.00029
smiles: C1=CC=C(C=C1)CC(C(=N)N)N, s:  0.00029
smiles: CN(C)C1=CC=CC=C1C(=N)N, s:  0.00029
smiles: CC(=N)N(CC1=CC=CC=C1)N, s:  0.00028
smiles: CN(C(=N)CC1=CC=CC=C1)N, s:  0.00028
smiles: C1=CC=C(C=C1)CNCC(=N)N, s:  0.00028
smiles: CNC(C1=CC=CC=C1)C(=N)N, s:  0.00028
node ID: 1766, ground truth SMILE: C1=CC(=CC(=C1)N)C(=O)N
top 20 test cadidates: 
smiles: C1=CC=C(C=C1)N(C=O)N, s:  0.00098
smiles: C1=CC=C(C=C1)NC(=O)N, s:  0.00097
smiles: C1=CC=C(C=C1)C(=O)NN, s:  0.00083
smiles: C1=CC=C(C=C1)N(C=N)O, s:  0.00082
smiles: CN(C1=CC=CC=C1)N=O, s:  0.00082
smiles: C1=CC=C(C(=C1)C(=O)N)N, s:  0.00081
smiles: C1=CC=C(C=C1)/C(=N/O)/N, s:  0.00073
smiles: C1=CC=C(C=C1)/C(=N\O)/N, s:  0.00073
smiles: C1=CC=C(C=C1)C(=NO)N, s:  0.00073
smiles: C1=CC=C(C=C1)OC(=N)N, s:  0.00072
smiles: CC1=NC(=CC=C1)C(=O)N, s:  0.00070
smiles: C1=CC=NC(=C1)CC(=O)N, s:  0.00068
smiles: C1=CC(=CC(=C1)N)C(=O)N, s:  0.00066
smiles: C1=CC(=CC=C1C(=O)N)N, s:  0.00065
smiles: C1=CC=C(C(=O)C(=C1)N)N, s:  0.00063
smiles: C1=CC=C(C(=C1)C(=N)N)O, s:  0.00063
smiles: C1=CC=C(C=C1)C(=N)ON, s:  0.00063
smiles: C1=CC=NC(=C1)C(=O)CN, s:  0.00063
smiles: C1=CC=C(C=C1)C(N)N=O, s:  0.00062
smiles: C1=CC=C(C(=O)C=C1)NN, s:  0.00062
node ID: 5758, ground truth SMILE: CCCCC(CC)CNCC(CC)CCCC
top 20 test cadidates: 
smiles: CCCC[C@@H](CC)CNC[C@H](CC)CCCC, s:  0.00178
smiles: CCCC[C@H](CC)CNC[C@@H](CC)CCCC, s:  0.00178
smiles: CCCC[C@@H](CC)CNC[C@@H](CC)CCCC, s:  0.00178
smiles: CCCCC(CC)CNCC(CC)CCCC, s:  0.00178
smiles: CCCC[C@@H](CC)CNCC(CC)CCCC, s:  0.00178
smiles: CCCCC(CC)CNCC(C(C)C)C(C)C, s:  0.00171
smiles: CCCCCC(C)CNCC(CC)CCCC, s:  0.00169
smiles: CCCCCCCCNCC(CC)CCCC, s:  0.00168
smiles: CCCCC(CC)CCC(CC)CNCCC, s:  0.00168
smiles: CCCCCCCCC(CC)CNCC(C)C, s:  0.00165
smiles: CCCCCC(CCC)CNCC(CC)CC, s:  0.00164
smiles: CCCCCCCCCCC(CC)CNCC, s:  0.00163
smiles: CCCCC(CC)CC(CC)CNCC(C)C, s:  0.00162
smiles: CCCCCCC(CC)CNCCCCCC, s:  0.00161
smiles: CCCCCCCCCC(CC)CNCCC, s:  0.00160
smiles: CCCCC(CC)CNCCCCCC(C)C, s:  0.00155
smiles: CCCCC(CC)CNCCC(C)CC(C)C, s:  0.00151
smiles: CCCCC(CC)CNC(CCC)CCCC, s:  0.00150
