node ID: 1323, ground truth SMILE: C1=CC(=CC=C1C=O)O
top 20 test cadidates: 
smiles: C1=CC=C(C=C1)[OH+][C-]=O, s:  0.00287
smiles: C1=CC=C(C=C1)OC=O, s:  0.00284
smiles: [CH]CC(=O)C1=CC=CO1, s:  0.00284
smiles: C1=CC=C(C(=O)C=C1)O, s:  0.00284
smiles: C1=CC=C(C(=C1)C=O)O, s:  0.00283
smiles: C=C(C=O)C1=CC=CO1, s:  0.00283
smiles: C1=CC=C(C=C1)C(=O)O, s:  0.00283
smiles: [H+].C1=CC=C(C=C1)C(=O)[O-], s:  0.00280
smiles: C1=CC(=CC(=C1)O)C=O, s:  0.00280
smiles: C1=CC(=CC(=O)C=C1)O, s:  0.00280
smiles: C1=CC(=CC=C1C=O)O, s:  0.00279
smiles: C1=CC(=C(C=O)O)C=C1, s:  0.00278
smiles: C1C=CC=C1C(=O)C=O, s:  0.00277
smiles: C#CC#CCCC(=O)O, s:  0.00277
smiles: C1=CC(=O)C=CC(=C1)O, s:  0.00277
smiles: C1=COC(=C1)/C=C/C=O, s:  0.00277
smiles: C1=COC(=C1)/C=C\C=O, s:  0.00277
smiles: C1=COC(=C1)C=CC=O, s:  0.00277
smiles: C=CC(=O)C1=CC=CO1, s:  0.00277
smiles: C1C(=CC=C1C=O)C=O, s:  0.00277
node ID: 2704, ground truth SMILE: CN(C)C(=O)NC1=CC=CC=C1
top 20 test cadidates: 
smiles: CN(C)C(=O)NC1=CC=CC=C1, s:  0.00024
smiles: CC(=O)N(C)NC1=CC=CC=C1, s:  0.00022
smiles: CCC(=O)NC1=CC=C(C=C1)N, s:  0.00022
smiles: CN(C)C(=O)C1=CC=C(C=C1)N, s:  0.00022
smiles: C[C@@H](C(=O)NC1=CC=CC=C1)N, s:  0.00022
smiles: CC(C(=O)NC1=CC=CC=C1)N, s:  0.00022
smiles: C[C@H](C(=O)NC1=CC=CC=C1)N, s:  0.00022
smiles: C[C@H](C(=O)N)NC1=CC=CC=C1, s:  0.00022
smiles: CC(C(=O)N)NC1=CC=CC=C1, s:  0.00022
