node ID: 2646_hyneg, ground truth SMILE: C1=CC(=CC=C1CCO)O
top 10 test cadidates: 
smiles: C1=CC(=CC(=C1)O)CCO, s:  0.00296
smiles: CC(C1=CC(=CC=C1)O)O, s:  0.00266
smiles: C[C@H](C1=CC(=CC=C1)O)O, s:  0.00266
smiles: C[C@@H](C1=CC(=CC=C1)O)O, s:  0.00266
smiles: COCC1=CC(=CC=C1)O, s:  0.00202
smiles: CCOC1=CC=CC(=C1)O, s:  0.00152
smiles: CC(=O)[C@H]([C@@H](CO)[18OH])[18OH], s:  0.00108
smiles: [BH3-][S+](C)C1=CC=CC=C1, s:  0.00106
smiles: C(CC=CC=O)CC=C=O, s:  0.00095
smiles: C(C/C=C/C=O)CC=C=O, s:  0.00095
node ID: 7385_sedi, ground truth SMILE: C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3
top 10 test cadidates: 
smiles: CCCCCCCCCCCOC(=O)Br, s:  0.00823
smiles: CCCCOC(=O)CCCCCCCBr, s:  0.00774
smiles: CCCCCCCCOC(=O)C(C)(C)Br, s:  0.00773
smiles: CCCCCCC(C(=O)OCCCC)Br, s:  0.00672
smiles: CCCCCCCCCCOC(=O)CBr, s:  0.00608
smiles: CCCCC(CCBr)C(=O)OCCCC, s:  0.00582
smiles: CCCCCCCCCOC(=O)C(C)Br, s:  0.00520
smiles: CCCCOC1=CC=CC=C1C(=O)NC2=NN=NS2, s:  0.00468
smiles: CCCCCCCCOC(=O)C(CC)Br, s:  0.00443
smiles: CCCCCCCCOC(=O)CCCBr, s:  0.00443
node ID: 7933_cj, ground truth SMILE: COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N
top 10 test cadidates: 
smiles: CC1=CC(=NO1)NC(=O)C(=O)NC2=NC(=C(S2)C)C, s:  0.00335
smiles: CC1=CC=C(C=C1)S(=O)(=O)NC2=NNC(=C2)C(=O)N, s:  0.00265
smiles: CC1=CC(=NC(=N1)NS(=O)(=O)C2=CNC(=O)C=C2)C, s:  0.00250
smiles: CC1=CC(=NN1)NS(=O)(=O)C2=CC=C(C=C2)C(=O)N, s:  0.00238
smiles: CC1=CC(=CC(=C1)S(=O)(=O)NC2=NNC(=O)C=C2)N, s:  0.00213
smiles: CC1=C(C=C(C=C1)S(=O)(=O)NC2=NNC(=O)C=C2)N, s:  0.00213
smiles: CC1=C(C=CC(=C1)S(=O)(=O)NC2=NNC(=O)C=C2)N, s:  0.00213
smiles: CC1=CC(=NO1)NC(=O)CO/N=C(/C2=CC=CS2)\N, s:  0.00205
smiles: CC1=CC(=NC(=O)N1)NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00205
smiles: CC1=NC(=CC(=O)N1)NS(=O)(=O)C2=CC=C(C=C2)N, s:  0.00195
node ID: 11050_hypos, ground truth SMILE: C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
top 10 test cadidates: 
smiles: C1=CC2=C(C=C1O)OC(=CC2=O)C3=CC(=CC(=C3)O)O, s:  0.00929
smiles: C1=CC=C(C=C1)C(=O)C2=C(C3=C(C=C(C=C3O2)O)O)O, s:  0.00668
smiles: C1=CC(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O, s:  0.00589
smiles: C1=CC(=C2C(=C1)OC(=CC2=O)C3=C(C=C(C=C3)O)O)O, s:  0.00589
smiles: C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O, s:  0.00504
smiles: C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O, s:  0.00479
smiles: C1=CC(=CC(=C1)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O, s:  0.00479
smiles: C1=CC=C(C(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O, s:  0.00472
smiles: C1=CC(=C2C(=C1)OC(=CC2=O)C3=C(C=CC(=C3)O)O)O, s:  0.00466
smiles: C1=CC=C(C=C1)OC2=CC(=O)C3=C(C=C(C=C3O2)O)O, s:  0.00464
node ID: 10381_cj, ground truth SMILE: CCCCCCCCCCCCCCCCCC(=O)NCCO
top 10 test cadidates: 
smiles: CCCCCCCCCCCCCCCCCCC(=O)NCO, s:  0.02758
smiles: CCCCCCCCCCCCCCCCCC(=O)NCCO, s:  0.02610
smiles: CCCCCCCCCCCCCCCCC(=O)NCCCO, s:  0.02546
smiles: CCCCCCCCCCCCCCCC(=O)NCCCCO, s:  0.02516
smiles: CCCCCCCCCCCCCCNC(=O)CCCCCO, s:  0.02502
smiles: CCCCCCCCCCCCCCCCNC(=O)CCCO, s:  0.02444
smiles: CC(C)CCCCCCCCCCCCCCC(=O)NCCO, s:  0.02146
