node ID: 2079_hp, ground truth SMILE: COC(=O)CC1=CNC2=CC=CC=C21
top 10 test cadidates: 
smiles: C1=CC=C2C(=C1)C(=CN2)CCC(=O)O, s:  0.00029
smiles: C1=CC=C2C(=C1)C(=CN2)CC(=O)CO, s:  0.00029
smiles: COC(=O)CC1=CNC2=CC=CC=C21, s:  0.00028
smiles: CC1=CC2=C(C=C1)NC=C2CC(=O)O, s:  0.00026
smiles: CC1=CC2=C(C=C1)C(=CN2)CC(=O)O, s:  0.00026
smiles: CC1=C2C(=CC=C1)NC=C2CC(=O)O, s:  0.00025
smiles: CC1=C2C(=CC=C1)C(=CN2)CC(=O)O, s:  0.00025
smiles: CC(=O)OCC1=CNC2=CC=CC=C21, s:  0.00024
smiles: CC1=CNC2=CC=CC(=C12)CC(=O)O, s:  0.00023
smiles: C1=CC=C2C(=C1)C(=CN2)CC(C=O)O, s:  0.00023
node ID: 2078_hp, ground truth SMILE: COC(=O)CC1=CNC2=CC=CC=C21
top 10 test cadidates: 
smiles: C1=CC=C2C(=C1)C(=CN2)CCC(=O)O, s:  0.00028
smiles: C1=CC=C2C(=C1)C(=CN2)CC(=O)CO, s:  0.00028
smiles: COC(=O)CC1=CNC2=CC=CC=C21, s:  0.00026
smiles: CC1=CC2=C(C=C1)NC=C2CC(=O)O, s:  0.00025
smiles: CC1=CC2=C(C=C1)C(=CN2)CC(=O)O, s:  0.00025
smiles: CC1=C2C(=CC=C1)NC=C2CC(=O)O, s:  0.00023
smiles: CC1=C2C(=CC=C1)C(=CN2)CC(=O)O, s:  0.00023
smiles: CC(=O)OCC1=CNC2=CC=CC=C21, s:  0.00023
smiles: CC1=CNC2=CC=CC(=C12)CC(=O)O, s:  0.00022
smiles: C1=CC=C2C(=C1)C(=CN2)CC(C=O)O, s:  0.00022
node ID: 4371_cj, ground truth SMILE: CCCCOP(=O)(O)OCCCC
top 10 test cadidates: 
smiles: CCCCCCOP(=O)(O)OCC, s:  0.00404
smiles: CCCC(C)COP(=O)(O)OCC, s:  0.00374
smiles: CCOP(=O)(O)OC(C)CC(C)C, s:  0.00367
smiles: CCCCOP(=O)(O)OCCCC, s:  0.00353
smiles: CCCCCCCCOP(=O)(O)O, s:  0.00346
smiles: CCC(CC)(CC)COP(=O)(O)O, s:  0.00346
smiles: CCCCC(C)OP(=O)(O)OCC, s:  0.00334
smiles: CCCC(C)C(C)COP(=O)(O)O, s:  0.00331
smiles: CCC(C)C(C)CCOP(=O)(O)O, s:  0.00329
smiles: CCCC(CC)CCOP(=O)(O)O, s:  0.00328
node ID: 7560_sedi, ground truth SMILE: CCCCCCCCC=CCCCCCCCC(=O)N
top 10 test cadidates: 
smiles: CCCCCC=CCCCCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCC/C=C\CCCCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCC/C=C/CCCCCCCCCCC(=O)N, s:  0.00055
smiles: CCCCCC/C=C/CCCCCCCCCC(=O)N, s:  0.00055
